date,location,value
1995-05,Singapore Zoological Gardens,148.4
1995-05,Chinese/japanese Gardens,9.9
1995-06,Asian Civilisations Museum,na
1995-06,National Museum Of Singapore,18.9
1995-06,Singapore Art Museum,na
1995-06,Singapore Philatelic Museum,na
1995-06,The Peranakan Museum,na
1995-06,Science Centre Singapore,36
1995-06,Jurong Birdpark,na
1995-06,Night Safari,na
1995-06,River Safari,na
1995-06,Singapore Zoological Gardens,132.3
1995-06,Chinese/japanese Gardens,9.3
1995-07,Asian Civilisations Museum,na
1995-07,National Museum Of Singapore,20.1
1995-07,Singapore Art Museum,na
1995-07,Singapore Philatelic Museum,na
1995-07,The Peranakan Museum,na
1995-07,Science Centre Singapore,30.1
1995-07,Jurong Birdpark,na
1995-07,Night Safari,na
1995-07,River Safari,na
1995-07,Singapore Zoological Gardens,117.8
1995-07,Chinese/japanese Gardens,19.3
1995-08,Asian Civilisations Museum,na
1995-08,National Museum Of Singapore,29
1995-08,Singapore Art Museum,na
1995-08,Singapore Philatelic Museum,na
1995-08,The Peranakan Museum,na
1995-08,Science Centre Singapore,37.4
1995-08,Jurong Birdpark,na
1995-08,Night Safari,na
1995-08,River Safari,na
1995-08,Singapore Zoological Gardens,137.4
1995-08,Chinese/japanese Gardens,11
1995-09,Asian Civilisations Museum,na
1995-09,National Museum Of Singapore,23.7
1995-09,Singapore Art Museum,na
1995-09,Singapore Philatelic Museum,na
1995-09,The Peranakan Museum,na
1995-09,Science Centre Singapore,28.8
1995-09,Jurong Birdpark,na
1995-09,Night Safari,na
1995-09,River Safari,na
1995-09,Singapore Zoological Gardens,127.1
1995-09,Chinese/japanese Gardens,115.4
1995-10,Asian Civilisations Museum,na
1995-10,National Museum Of Singapore,32.8
1995-10,Singapore Art Museum,na
1995-10,Singapore Philatelic Museum,na
1995-10,The Peranakan Museum,na
1995-10,Science Centre Singapore,39.4
1995-10,Jurong Birdpark,na
1995-10,Night Safari,na
1995-10,River Safari,na
1995-10,Singapore Zoological Gardens,106
1995-10,Chinese/japanese Gardens,8.7
1995-11,Asian Civilisations Museum,na
1995-11,National Museum Of Singapore,55.5
1995-11,Singapore Art Museum,na
1995-11,Singapore Philatelic Museum,na
1995-11,The Peranakan Museum,na
1995-11,Science Centre Singapore,122.5
1995-11,Jurong Birdpark,na
1995-11,Night Safari,na
1995-11,River Safari,na
1995-11,Singapore Zoological Gardens,136.1
1995-11,Chinese/japanese Gardens,9.8
1995-12,Asian Civilisations Museum,na
1995-12,National Museum Of Singapore,46.1
1995-12,Singapore Art Museum,na
1995-12,Singapore Philatelic Museum,na
1995-12,The Peranakan Museum,na
1995-12,Science Centre Singapore,57.6
1995-12,Jurong Birdpark,na
1995-12,Night Safari,na
1995-12,River Safari,na
1995-12,Singapore Zoological Gardens,128.5
1995-12,Chinese/japanese Gardens,19
1996-01,Asian Civilisations Museum,na
1996-01,National Museum Of Singapore,24.1
1996-01,Singapore Art Museum,5.4
1996-01,Singapore Philatelic Museum,na
1996-01,The Peranakan Museum,na
1996-01,Science Centre Singapore,36
1996-01,Jurong Birdpark,na
1996-01,Night Safari,na
1996-01,River Safari,na
1996-01,Singapore Zoological Gardens,76
1996-01,Chinese/japanese Gardens,12.3
1996-02,Asian Civilisations Museum,na
1996-02,National Museum Of Singapore,30.2
1996-02,Singapore Art Museum,7.4
1996-02,Singapore Philatelic Museum,na
1996-02,The Peranakan Museum,na
1996-02,Science Centre Singapore,31.3
1996-02,Jurong Birdpark,na
1996-02,Night Safari,na
1996-02,River Safari,na
1996-02,Singapore Zoological Gardens,121.8
